parent,child,true_overlap,label,parent_true_start,child_true_start,parent_true_m,child_true_m,mass,max_cell,peak_frac,n_dist,dist_entropy,mass_per_child_batch,mass_over_min_read_mass,mass_over_min_miss_mass,mass_over_evict_writes,max_cell_over_min_miss,alpha_mean,alpha_sd,alpha_min,gap,exp_mass,excess_mass,poisson_z_total,poisson_z_max_cell,obs_over_exp
21,23,0,0,3574,3668,48,127,1.0,1.0,1.0,1.0,-0.0,0.2,0.0026,0.00901,0.00043,0.00901,74,0.0,74.0,88.0,0.8642,0.1358,0.14608,0.14608,1.15714
23,24,51,1,3668,3744,127,139,97.0,48.0,0.49485,20.0,3.01304,16.16667,0.15156,0.447,0.03789,0.2212,38.91753,4.21257,26.0,41.0,23.09877,73.90123,15.37649,50.56016,4.19936
22,24,0,0,3604,3744,119,139,7.0,2.0,0.28571,4.0,1.95021,1.16667,0.00911,0.02713,0.0026,0.00775,72.57143,1.17803,71.0,85.0,2.87654,4.12346,2.43123,3.64516,2.43348
24,25,81,1,3744,3802,139,114,120.0,70.0,0.58333,22.0,2.58081,20.0,0.15625,0.46154,0.04464,0.26923,39.48333,3.74607,27.0,40.0,22.11111,97.88889,20.81748,62.61611,5.42714
23,25,0,0,3668,3802,127,114,4.0,2.0,0.5,3.0,1.5,0.66667,0.00625,0.01843,0.00156,0.00922,73.25,0.82916,72.0,86.0,1.59259,2.40741,1.90764,1.93793,2.51163
24,26,12,1,3744,3871,139,86,4.0,3.0,0.75,2.0,0.81128,1.0,0.00781,0.0241,0.00149,0.01807,73,1.73205,70.0,85.0,2.07407,1.92593,1.3373,1.07291,1.92857
25,26,45,1,3802,3871,114,86,72.0,46.0,0.63889,16.0,2.32494,18.0,0.14062,0.43373,0.02679,0.27711,39.31944,4.06826,28.0,40.0,14.40741,57.59259,15.17308,49.00939,4.99743
26,27,31,1,3871,3926,86,141,82.0,26.0,0.31707,19.0,3.48031,13.66667,0.16016,0.49398,0.03372,0.15663,39.14634,4.19966,30.0,42.0,23.80247,58.19753,11.92871,23.44717,3.44502
25,27,0,0,3802,3926,114,141,8.0,5.0,0.625,3.0,1.29879,1.33333,0.01042,0.03053,0.00298,0.01908,73.125,1.26861,71.0,85.0,3.59259,4.40741,2.3253,1.6031,2.2268
27,28,53,1,3926,4014,141,139,120.0,43.0,0.35833,23.0,3.53877,20.0,0.15625,0.45802,0.04464,0.16412,38.83333,4.72993,27.0,40.0,39.08642,80.91358,12.94221,41.33248,3.07012
26,28,0,0,3871,4014,86,139,2.0,2.0,1.0,1.0,-0.0,0.33333,0.00391,0.01205,0.00082,0.01205,74,0.0,74.0,87.0,0.82716,1.17284,1.28957,1.28957,2.41791
28,29,55,1,4014,4098,139,113,93.0,40.0,0.43011,19.0,3.06244,18.6,0.14531,0.43256,0.0346,0.18605,37.23656,4.10978,27.0,40.0,20.95062,72.04938,15.74098,41.97199,4.43901
27,29,0,0,3926,4098,141,113,5.0,2.0,0.4,4.0,1.92193,1.0,0.00781,0.02326,0.00186,0.0093,72.2,1.6,70.0,85.0,3.19753,1.80247,1.008,1.07291,1.56371
29,30,64,1,4098,4147,113,103,113.0,53.0,0.46903,20.0,3.1171,18.83333,0.17656,0.52558,0.04414,0.24651,38.61947,4.26826,28.0,41.0,22.4321,90.5679,19.12227,57.61111,5.03742
28,30,6,1,4014,4147,139,103,2.0,2.0,1.0,1.0,-0.0,0.33333,0.0026,0.00763,0.00074,0.00763,74,0.0,74.0,85.0,0.65432,1.34568,1.66359,1.66359,3.0566
30,31,45,1,4147,4205,103,133,117.0,39.0,0.33333,21.0,3.65405,19.5,0.15234,0.47561,0.04353,0.15854,37.80342,5.04719,26.0,40.0,34.11111,82.88889,14.19216,39.36228,3.42997
29,31,6,1,4098,4205,113,133,3.0,2.0,0.66667,2.0,0.9183,0.5,0.00469,0.01395,0.00117,0.0093,73.66667,0.4714,73.0,86.0,2.16049,0.83951,0.57115,0.33556,1.38857
30,32,0,0,4147,4258,103,117,11.0,6.0,0.54545,3.0,1.32218,1.83333,0.01432,0.04297,0.00409,0.02344,73.18182,0.8332,71.0,85.0,4.16049,6.83951,3.35314,4.62121,2.64392
31,32,80,1,4205,4258,133,117,118.0,58.0,0.49153,20.0,2.83609,19.66667,0.15365,0.47967,0.0439,0.23577,38.77966,4.86101,25.0,40.0,23.23457,94.76543,19.65996,54.4885,5.07864
32,33,54,1,4258,4321,117,55,65.0,49.0,0.75385,12.0,1.62428,21.66667,0.16927,0.54167,0.02418,0.40833,38.70769,3.49383,27.0,40.0,6.66667,58.33333,22.5924,56.07219,9.75
31,33,17,1,4205,4321,133,55,2.0,1.0,0.5,2.0,1.0,0.66667,0.00521,0.01667,0.00074,0.00833,71,1.0,70.0,85.0,0.5679,1.4321,1.90036,1.34376,3.52174
33,34,29,1,4321,4347,55,61,56.0,27.0,0.48214,18.0,3.01009,18.66667,0.14583,0.46667,0.02431,0.225,38.89286,4.57352,28.0,43.0,16.40741,39.59259,9.77449,28.3308,3.41309
32,34,28,1,4258,4347,117,61,2.0,2.0,1.0,1.0,-0.0,0.66667,0.00521,0.01587,0.00074,0.01587,73,0.0,73.0,85.0,1.03704,0.96296,0.94561,0.99781,1.92857
34,35,36,1,4347,4372,61,59,54.0,35.0,0.64815,13.0,2.15711,18.0,0.14062,0.50467,0.02344,0.3271,40.2963,3.32014,29.0,43.0,9.40741,44.59259,14.53877,38.80435,5.74016
33,35,4,1,4321,4372,55,59,1.0,1.0,1.0,1.0,-0.0,0.33333,0.0026,0.00935,0.00043,0.00935,74,0.0,74.0,88.0,0.33333,0.66667,1.1547,1.1547,3.0
34,36,0,0,4347,4412,61,93,2.0,1.0,0.5,2.0,1.0,0.4,0.00521,0.01587,0.00087,0.00794,73.5,0.5,73.0,88.0,1.04938,0.95062,0.92798,1.1547,1.90588
